Ticker,Name,Sector,Industry,IPO_Year,Price
PIH,"1347 Property Insurance Holdings, Inc.",Finance,Property-Casualty Insurers,2014,5.75
TURN,180 Degree Capital Corp.,Finance,Finance/Investors Services,n/a,1.88
FLWS,"1-800 FLOWERS.COM, Inc.",Consumer Services,Other Specialty Stores,1999,18.38
FCCY,1st Constitution Bancorp (NJ),Finance,Savings Institutions,n/a,18.8
SRCE,1st Source Corporation,Finance,Major Banks,n/a,47.79
VNET,"21Vianet Group, Inc.",Technology,"Computer Software: Programming, Data Processing",2011,8.75
TWOU,"2U, Inc.",Technology,Computer Software: Prepackaged Software,2014,73.87
TPNL,"3PEA International, Inc.",Miscellaneous,Business Services,n/a,7.95
JOBS,"51job, Inc.",Technology,Diversified Commercial Services,2004,70.75
EGHT,8x8 Inc,Technology,EDP Services,n/a,19.55
AAON,"AAON, Inc.",Capital Goods,Industrial Machinery/Components,n/a,41.29
ABEO,Abeona Therapeutics Inc.,Health Care,Major Pharmaceuticals,n/a,7.9
ABIL,Ability Inc.,Consumer Durables,Telecommunications Equipment,2014,1.84
ABMD,"ABIOMED, Inc.",Health Care,Medical/Dental Instruments,n/a,348.22
AXAS,Abraxas Petroleum Corporation,Energy,Oil & Gas Production,n/a,1.26
ACIU,AC Immune SA,Health Care,Major Pharmaceuticals,2016,4.57
ACIA,"Acacia Communications, Inc.",Technology,Semiconductors,2016,54.5
ACTG,Acacia Research Corporation,Miscellaneous,Multi-Sector Companies,n/a,3.04
ACHC,"Acadia Healthcare Company, Inc.",Health Care,Medical Specialities,n/a,30.15
ACAD,ACADIA Pharmaceuticals Inc.,Health Care,Major Pharmaceuticals,1985,26.92
ACST,"Acasti Pharma, Inc.",Health Care,Major Pharmaceuticals,n/a,1.12
AXDX,"Accelerate Diagnostics, Inc.",Capital Goods,Biotechnology: Laboratory Analytical Instruments,n/a,22
XLRN,Acceleron Pharma Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),2013,46.23
ARAY,Accuray Incorporated,Health Care,Medical/Dental Instruments,2007,5.17
ACRX,"AcelRx Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,2011,3.75
ACER,Acer Therapeutics Inc.,Health Care,Major Pharmaceuticals,n/a,23.61
ACET,Aceto Corporation,Health Care,Other Pharmaceuticals,n/a,0.1988
AKAO,"Achaogen, Inc.",Health Care,Major Pharmaceuticals,2014,0.78
ACHV,"Achieve Life Sciences, Inc. ",Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,n/a,2.44
ACHN,"Achillion Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,2006,2.68
ACIW,"ACI Worldwide, Inc.",Technology,Computer Software: Prepackaged Software,n/a,32.99
ACRS,"Aclaris Therapeutics, Inc.",Health Care,Major Pharmaceuticals,2015,6.37
ACMR,"ACM Research, Inc.",Technology,Industrial Machinery/Components,2017,11.6
ACOR,"Acorda Therapeutics, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances),2006,15.19
ATVI,"Activision Blizzard, Inc",Technology,Computer Software: Prepackaged Software,n/a,43.06
ADMS,"Adamas Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,2014,12
ADMP,Adamis Pharmaceuticals Corporation,Health Care,Major Pharmaceuticals,n/a,2.88
ADAP,Adaptimmune Therapeutics plc,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),2015,4.6
ADUS,Addus HomeCare Corporation,Health Care,Medical/Nursing Services,2009,66.05
AEY,"ADDvantage Technologies Group, Inc.",Consumer Services,Office Equipment/Supplies/Services,n/a,1.35
IOTS,Adesto Technologies Corporation,Technology,Semiconductors,2015,6.13
ADIL,"Adial Pharmaceuticals, Inc",Health Care,Major Pharmaceuticals,2018,3.5
ADMA,ADMA Biologics Inc,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),n/a,4.2
ADBE,Adobe Inc.,Technology,Computer Software: Prepackaged Software,1986,266.7
ADOM,"ADOMANI, Inc.",Capital Goods,Auto Parts:O.E.M.,2017,0.46
ADTN,"ADTRAN, Inc.",Public Utilities,Telecommunications Equipment,1994,15.25
ADRO,"Aduro Biotech, Inc.",Health Care,Major Pharmaceuticals,2015,4.24
ADES,"Advanced Emissions Solutions, Inc.",Basic Industries,Major Chemicals,n/a,11.83
AEIS,"Advanced Energy Industries, Inc.",Capital Goods,Industrial Machinery/Components,1995,51.28
AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductors,n/a,23.89
ADXS,"Advaxis, Inc.",Health Care,Major Pharmaceuticals,n/a,0.36
ADVM,"Adverum Biotechnologies, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances),2014,4.45
AEGN,Aegion Corp,Basic Industries,Water Supply,n/a,17.65
AGLE,"Aeglea BioTherapeutics, Inc.",Health Care,Major Pharmaceuticals,2016,8.66
AEHR,Aehr Test Systems,Capital Goods,Electrical Products,1997,1.43
AMTX,"Aemetis, Inc",Basic Industries,Major Chemicals,n/a,1.01
AERI,"Aerie Pharmaceuticals, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances),2013,48.14
AVAV,"AeroVironment, Inc.",Capital Goods,Aerospace,2007,79.69
ARPO,"Aerpio Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,n/a,3.04
AEZS,AEterna Zentaris Inc.,Health Care,Major Pharmaceuticals,n/a,3.96
AEMD,"Aethlon Medical, Inc.",Capital Goods,Biotechnology: Laboratory Analytical Instruments,n/a,1.06
GNMX,"Aevi Genomic Medicine, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances),n/a,0.208
AFMD,Affimed N.V.,Health Care,Major Pharmaceuticals,2014,3.94
AGEN,Agenus Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),2000,3.11
AGRX,"Agile Therapeutics, Inc.",Health Care,Major Pharmaceuticals,2014,1.03
AGYS,"Agilysys, Inc.",Technology,EDP Services,n/a,20.7
AGIO,"Agios Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,2013,68.36
AGNC,AGNC Investment Corp.,Consumer Services,Real Estate Investment Trusts,2008,17.53
AGFS,"AgroFresh Solutions, Inc.",Finance,Business Services,2014,4.47
ALRN,"Aileron Therapeutics, Inc.",Health Care,Major Pharmaceuticals,2017,1.59
AIMT,"Aimmune Therapeutics, Inc.",Health Care,Major Pharmaceuticals,2015,24.29
ATSG,"Air Transport Services Group, Inc",Transportation,Air Freight/Delivery Services,n/a,22.88
AIRG,"Airgain, Inc.",Technology,Radio And Television Broadcasting And Communications Equipment,2016,12.83
AMCN,AirMedia Group Inc,Technology,Advertising,2007,0.475
AKAM,"Akamai Technologies, Inc.",Miscellaneous,Business Services,1999,71.55
AKTX,Akari Therapeutics Plc,Health Care,Major Pharmaceuticals,n/a,1.8
AKCA,"Akcea Therapeutics, Inc.",Health Care,Major Pharmaceuticals,2017,32.7
AKBA,"Akebia Therapeutics, Inc.",Health Care,Major Pharmaceuticals,2014,7.74
AKER,Akers Biosciences Inc,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,2014,0.9597
AKRX,"Akorn, Inc.",Health Care,Major Pharmaceuticals,n/a,4.29
