Ticker,Name,Sector,Industry,IPO Year,Price,Market Cap,Trailing P/E,Forward P/E,PEG Ratio(5yr Expected),Price/Sales(ttm),Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA,Profit Margin,Operating Margin(TTM),Return on Assets(TTM),Return on Equity(TTM),Revenue(TTM),Revenue Per Share(TTM),Quarterly Revenue Growth(YOY),Gross Profit(TTM),EBITDA,Diluted EPS(TTM),Quarterly Earnings Growth(YOY),Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Book Value Per Share,Operating Cash Flow(TTM),Levered Free Cash Flow(TTM),Beta(3Y Monthly),Shares Outstanding,Forward Annual Dividend Rate,Forward Annual Dividend Yield,Trailing Annual Dividend Rate,Trailing Annual Dividend Yield,5 Year Average Dividend Yield,Payout Ratio
AAON,"AAON, Inc.",Capital Goods,Industrial Machinery/Components,n/a,46.69,2481000000.0,49.6,29.95,3.61,5.41,9.38,5.2,26.61,11.01,14.98,12.96,20.07,458540000.0,8.79,nan,103530000.0,89670000.0,0.96,10.9,17680000.0,0.34,nan,nan,2.86,5.08,54480000.0,11200000.0,1.0,52110000.0,0.32,0.67,0.32,0.69,0.78,33.33
ABEO,Abeona Therapeutics Inc.,Health Care,Major Pharmaceuticals,n/a,2.73,146468000.0,nan,-1.94,nan,66.85,1.36,41.48,-1.26,0.0,nan,-29.88,-56.98,2190000.0,0.05,nan,-35700000.0,-72340000.0,-1.586,nan,62510000.0,1.27,8400000.0,7.84,2.54,2.18,-56330000.0,-35490000.0,1.31,49320000.0,nan,nan,nan,nan,nan,0.0
ABIL,Ability Inc.,Consumer Durables,Telecommunications Equipment,2014,0.6208,5176000.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ABMD,"ABIOMED, Inc.",Health Care,Medical/Dental Instruments,n/a,185.84,8321000000.0,32.81,34.8,1.3,10.44,8.3,9.86,30.95,32.35,29.91,15.38,29.88,797090000.0,17.68,nan,639870000.0,253920000.0,5.59,-1.3,486670000.0,10.73,13660000.0,1.36,6.76,22.1,270190000.0,146020000.0,1.19,45380000.0,nan,nan,nan,nan,nan,0.0
ACIU,AC Immune SA,Health Care,Major Pharmaceuticals,2016,4.94,337136000.0,nan,-5.67,nan,nan,1.67,nan,nan,23.02,0.0,5.72,10.02,nan,nan,nan,-37080000.0,nan,-0.547,nan,nan,nan,nan,0.94,21.9,2.99,nan,nan,nan,67560000.0,nan,nan,nan,nan,nan,nan
ACIA,"Acacia Communications, Inc.",Technology,Semiconductors,2016,63.8,2578000000.0,121.84,30.63,-3.11,6.26,4.93,5.54,81.99,5.3,3.57,1.48,4.29,418350000.0,10.33,nan,147120000.0,28290000.0,0.52,nan,318140000.0,7.75,21570000.0,4.07,4.18,12.92,99340000.0,79360000.0,1.56,41080000.0,nan,nan,nan,nan,nan,0.0
ACTG,Acacia Research Corporation,Miscellaneous,Multi-Sector Companies,n/a,2.6,131350000.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ACHC,"Acadia Healthcare Company, Inc.",Health Care,Medical Specialities,n/a,26.05,2311000000.0,nan,10.79,1.89,0.76,0.94,1.99,10.88,-6.8,13.05,3.75,-8.08,3050000000.0,34.92,nan,1230000000.0,559480000.0,-2.38,-18.2,43540000.0,0.49,3820000000.0,155.44,1.1,27.64,325450000.0,-20970000.0,0.81,88520000.0,nan,nan,nan,nan,nan,0.0
ACHN,"Achillion Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,2006,4.35,589504000.0,nan,-5.63,-0.42,nan,2.53,nan,-4.75,0.0,0.0,-17.34,-26.94,nan,nan,nan,-50120000.0,-75300000.0,-0.511,nan,233370000.0,1.67,1370000.0,0.59,14.64,1.67,-56510000.0,-31650000.0,1.62,139690000.0,nan,nan,nan,nan,nan,0.0
ATVI,"Activision Blizzard, Inc",Technology,Computer Software: Prepackaged Software,n/a,52.06,41036000000.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ADMS,"Adamas Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,2014,6.03,165238000.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ADAP,Adaptimmune Therapeutics plc,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),2015,1.59,173460000.0,nan,-1.53,-1.27,4.09,0.93,1.33,-0.65,-234.35,-222.45,-26.17,-56.48,42430000.0,0.41,nan,-38760000.0,-86400000.0,-0.967,nan,133410000.0,1.27,26000000.0,13.91,6.19,1.78,-92120000.0,-65680000.00000001,2.09,105130000.0,nan,nan,nan,nan,nan,0.0
ADUS,Addus HomeCare Corporation,Health Care,Medical/Nursing Services,2009,84.72,1052000000.0,56.49,27.35,2.27,1.86,3.59,2.01,27.48,3.3,5.72,5.38,7.8,566060000.0,44.22,nan,138000000.0,41480000.0,1.41,27.8,54790000.0,4.19,55960000.0,19.34,2.84,22.15,8960000.0,-1820000.0,0.3,13220000.0,nan,nan,nan,nan,nan,0.0
ADMA,ADMA Biologics Inc,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),n/a,4.34,250910000.0,nan,-7.05,nan,13.65,5.35,14.22,-5.01,0.0,-298.68,-26.28,-120.52,18380000.0,0.38,nan,-25210000.0,-52100000.0,-1.243,nan,73620000.0,1.24,84000000.0,179.08,10.26,0.79,-64250000.0,-42170000.0,2.4,59320000.0,nan,nan,nan,nan,nan,0.0
ADBE,Adobe Inc.,Technology,Computer Software: Prepackaged Software,1986,286.04,138156000000.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ADOM,"ADOMANI, Inc.",Capital Goods,Auto Parts:O.E.M.,2017,0.079,6743000.0,nan,-2.31,nan,0.78,1.25,0.37,-0.61,-64.22,-61.84,-25.22,-73.13,8610000.0,0.12,nan,nan,-5270000.0,-0.076,nan,7850000.0,0.11,4300000.0,79.32,1.65,0.07,-2610000.0,nan,1.29,72890000.0,nan,nan,nan,nan,nan,0.0
ADRO,"Aduro Biotech, Inc.",Health Care,Major Pharmaceuticals,2015,1.15,96168000.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ADXS,"Advaxis, Inc.",Health Care,Major Pharmaceuticals,n/a,0.3483,6311000.0,nan,-0.12,nan,0.27,0.06,-1.34,1.01,-126.12,-139.76,-31.35,-65.85,23140000.0,5.13,nan,6060000.0,-30800000.0,-6.998,nan,33710000.0,4.2,nan,nan,7.08,5.38,-51100000.0,-26420000.0,4.22,18670000.0,nan,nan,nan,nan,nan,0.0
AGLE,"Aeglea BioTherapeutics, Inc.",Health Care,Major Pharmaceuticals,2016,7.75,225885000.0,nan,-3.93,nan,nan,2.26,nan,-1.98,0.0,0.0,-40.46,-71.65,nan,0.0,nan,-32830000.0,-63470000.0,-2.3,nan,105540000.0,3.65,5210000.0,5.24,8.44,3.45,-47890000.0,-26380000.0,1.12,28890000.0,nan,nan,nan,nan,nan,0.0
