Ticker,Name,Sector,Industry,IPO Year,Price,Market Cap,Trailing P/E,Forward P/E,PEG Ratio(5yr Expected),Price/Sales(ttm),Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA,Profit Margin,Operating Margin(TTM),Return on Assets(TTM),Return on Equity(TTM),Revenue(TTM),Revenue Per Share(TTM),Quarterly Revenue Growth(YOY),Gross Profit(TTM),EBITDA,Diluted EPS(TTM),EPS Beat Ratio,Quarterly Earnings Growth(YOY),Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Book Value Per Share,Operating Cash Flow(TTM),Levered Free Cash Flow(TTM),Beta(3Y Monthly),Shares Outstanding,Forward Annual Dividend Rate,Forward Annual Dividend Yield,Trailing Annual Dividend Rate,Trailing Annual Dividend Yield,5 Year Average Dividend Yield,Payout Ratio
PIH,"1347 Property Insurance Holdings, Inc.",Finance,Property-Casualty Insurers,2014,4.5,26817000.0,nan,nan,nan,0.46,0.64,0.73,114.28,-9.79,0.42,0.1,0.97,58400000.0,9.73,-3.1,15490000.0,nan,-1.185,0.2222,nan,2310000.0,0.38,nan,nan,1.35,7.0,8630000.0,-80710000.0,0.37,6010000.0,nan,nan,nan,nan,nan,0.0
TURN,180 Degree Capital Corp.,Finance,Finance/Investors Services,n/a,2.07,66289000.0,nan,nan,nan,313.11,0.75,285.38,-24.66,0.0,-1159.7,-1.64,-3.19,nan,0.01,-76.2,nan,-2450000.0,-0.091,nan,-39.9,5870000.0,0.19,nan,nan,1.45,2.82,-5850000.0,2120000.0,0.61,31120000.0,nan,nan,nan,nan,nan,0.0
FLWS,"1-800 FLOWERS.COM, Inc.",Consumer Services,Other Specialty Stores,1999,14.03,925617000.0,27.58,21.09,1.22,0.74,2.7,0.68,11.21,2.78,3.67,4.86,10.57,1250000000.0,19.41,12.8,526120000.0,75770000.0,0.52,0.9286,nan,172920000.0,2.68,96970000.0,28.3,2.38,5.32,78100000.0,34810000.0,1.38,35770000.0,nan,nan,nan,nan,nan,0.0
FCCY,1st Constitution Bancorp (NJ),Finance,Savings Institutions,n/a,19.11,164948000.0,11.79,10.89,1.49,3.16,1.22,5.25,nan,26.98,38.79,1.11,11.03,52230000.0,6.13,4.4,50220000.0,nan,1.62,1.0,80.1,30110000.0,3.48,139430000.0,nan,nan,15.62,14330000.0,nan,0.19,8650000.0,0.3,1.58,0.3,1.58,nan,17.59
SRCE,1st Source Corporation,Finance,Major Banks,n/a,45.1,1163000000.0,13.6,12.79,1.26,3.88,1.46,4.61,nan,29.01,39.49,1.34,11.25,299560000.0,11.61,6.1,291490000.0,nan,3.35,1.0225,6.5,117890000.0,4.62,348340000.0,nan,nan,31.12,130669999.99999999,nan,1.4,25540000.0,1.08,2.42,0.52,1.17,1.95,31.04
VNET,"21Vianet Group, Inc.",Technology,"Computer Software: Programming, Data Processing",2011,7.25,811477000.0,9.43,nan,-64.27,nan,1.05,nan,nan,-6.8,0.0,1.23,-4.17,nan,nan,7.2,944870000.0,nan,0.77,5.0,nan,nan,nan,nan,92.57,2.28,6.87,nan,nan,1.09,112390000.0,nan,nan,nan,nan,nan,0.0
TWOU,"2U, Inc.",Technology,Computer Software: Prepackaged Software,2014,15.99,1065000000.0,nan,-17.71,-0.57,2.22,1.24,2.4,-36.47,-11.39,-15.42,-4.29,-7.03,479750000.0,8.19,39.0,321280000.0,-31630000.0,-0.93,1.2286,nan,218720000.0,3.45,307150000.0,35.67,2.19,13.62,-30870000.0,-51690000.0,1.51,63330000.0,nan,nan,nan,nan,nan,0.0
JOBS,"51job, Inc.",Technology,Diversified Commercial Services,2004,79.13,5251000000.0,46.77,21.8,59.03,nan,4.93,nan,nan,41.56,0.0,6.42,19.73,nan,nan,8.8,2700000000.0,nan,1.69,1.2388,nan,nan,nan,nan,0.97,4.1,16.05,nan,nan,1.44,66360000.0,nan,nan,nan,nan,nan,0.0
EGHT,8x8 Inc,Technology,EDP Services,n/a,19.83,1943000000.0,nan,-93.19,0.55,5.31,8.21,5.15,-20.69,-29.41,-29.06,-15.21,-44.67,366040000.0,3.84,16.2,222610000.0,-91080000.0,-1.13,0.8235,nan,296510000.0,2.99,238320000.0,103.55,4.02,2.38,-36170000.0,-8780000.0,0.92,99290000.0,nan,nan,nan,nan,nan,0.0
AAON,"AAON, Inc.",Capital Goods,Industrial Machinery/Components,n/a,46.14,2450000000.0,48.98,30.14,3.58,5.34,9.26,5.3,27.13,11.01,14.98,12.96,20.07,458540000.0,8.79,9.0,103530000.0,89670000.0,0.96,0.9259,10.9,17680000.0,0.34,nan,nan,2.86,5.08,54480000.0,11200000.0,0.99,52110000.0,0.32,0.7,0.32,0.7,0.78,33.33
ABEO,Abeona Therapeutics Inc.,Health Care,Major Pharmaceuticals,n/a,2.22,110467000.0,nan,-1.49,nan,50.42,1.03,25.72,-0.78,0.0,-3558.01,-29.88,-56.98,2190000.0,0.05,nan,-35700000.0,-72340000.0,-1.586,1.4,nan,62510000.0,1.27,8400000.0,7.84,2.54,2.18,-56330000.0,-35490000.0,1.45,49320000.0,nan,nan,nan,nan,nan,0.0
ABIL,Ability Inc.,Consumer Durables,Telecommunications Equipment,2014,0.46,3859000.0,nan,nan,nan,7.16,0.85,-12.67,0.7,0.0,-1886.83,-28.01,-492.22,nan,0.18,-94.8,-1100000.0,-9690000.0,-3.446,-1.6667,nan,9860000.0,1.56,nan,nan,1.12,0.56,-5090000.0,-1270000.0,0.35,8039999.999999999,nan,nan,nan,nan,nan,0.0
ABMD,"ABIOMED, Inc.",Health Care,Medical/Dental Instruments,n/a,164.1,7698000000.0,30.35,32.5,1.29,9.66,7.68,9.06,28.45,32.35,29.91,15.38,29.88,797090000.0,17.68,15.4,639870000.0,253920000.0,5.59,1.9897,-1.3,486670000.0,10.73,13660000.0,1.36,6.76,22.1,270190000.0,146020000.0,1.2,45380000.0,nan,nan,nan,nan,nan,0.0
AXAS,Abraxas Petroleum Corporation,Energy,Oil & Gas Production,n/a,0.38,62833000.0,1.43,1.96,1.69,0.43,0.4,1.68,2.37,29.82,37.21,9.11,33.44,146960000.0,0.88,12.6,112840000.0,104620000.0,0.261,0.5,nan,1320000.0,0.01,186740000.0,121.24,0.47,0.93,77410000.0,-107980000.0,2.37,168450000.0,nan,nan,nan,nan,nan,0.0
ACIU,AC Immune SA,Health Care,Major Pharmaceuticals,2016,4.78,329028000.0,nan,-5.47,nan,nan,1.63,nan,nan,23.02,0.0,5.72,10.02,nan,nan,-25.5,-37080000.0,nan,-0.547,1.0909,nan,nan,nan,nan,0.94,21.9,2.99,nan,nan,0.06,67560000.0,nan,nan,nan,nan,nan,0.0
ACIA,"Acacia Communications, Inc.",Technology,Semiconductors,2016,65.29,2659000000.0,123.78,30.83,-3.12,6.36,5.01,5.64,83.46,5.3,3.57,1.48,4.29,418350000.0,10.33,71.0,147120000.0,28290000.0,0.52,1.2,nan,318140000.0,7.75,21570000.0,4.07,4.18,12.92,99340000.0,79360000.0,1.55,41080000.0,nan,nan,nan,nan,nan,0.0
ACTG,Acacia Research Corporation,Miscellaneous,Multi-Sector Companies,n/a,2.58,137364000.0,nan,nan,nan,1.91,0.76,-0.36,-6.8,-76.22,-8.23,-1.63,-26.15,71780000.0,1.45,-15.8,49370000.0,3780000.0,-1.102,-1.375,nan,164900000.0,3.29,nan,nan,9.17,3.59,-54780000.0,-1570000.0,0.21,50130000.0,nan,nan,0.12,4.86,nan,0.0
ACHC,"Acadia Healthcare Company, Inc.",Health Care,Medical Specialities,n/a,29.32,2621000000.0,nan,12.19,2.08,0.86,1.07,2.1,11.48,-6.8,13.05,3.75,-8.08,3050000000.0,34.92,3.1,1230000000.0,559480000.0,-2.38,1.0517,-18.2,43540000.0,0.49,3820000000.0,155.44,1.1,27.64,325450000.0,-20970000.0,0.82,88520000.0,nan,nan,nan,nan,nan,0.0
ACAD,ACADIA Pharmaceuticals Inc.,Health Care,Major Pharmaceuticals,1985,40.66,5855000000.0,nan,-29.79,-0.85,22.17,15.05,20.77,-20.29,-101.45,-103.5,-44.03,-81.96,264040000.00000003,1.94,45.8,18310000.0,-270260000.0,-1.97,0.8444,nan,381890000.0,2.64,11150000.0,2.87,6.85,2.69,-183930000.0,-89960000.0,1.8,144490000.0,nan,nan,nan,nan,nan,0.0
ACST,"Acasti Pharma, Inc.",Health Care,Major Pharmaceuticals,n/a,2.18,185274000.0,nan,-6.2,nan,nan,nan,nan,nan,0.0,0.0,-83.31,-1006.68,nan,nan,nan,nan,nan,-1.224,1.2917,nan,nan,nan,nan,52.34,1.61,-0.3,nan,nan,1.39,84820000.0,nan,nan,nan,nan,nan,0.0
AXDX,"Accelerate Diagnostics, Inc.",Capital Goods,Biotechnology: Laboratory Analytical Instruments,n/a,18.36,982283000.0,nan,-12.0,-0.39,145.87,37.74,143.86,-13.21,0.0,-1129.14,-25.22,-143.64,6730000.0,0.12,6.7,2480000.0,-73320000.0,-1.6,0.9744,nan,137820000.0,2.53,125290000.0,481.8,19.99,0.48,-65900000.00000001,-30340000.0,3.35,54570000.0,nan,nan,nan,nan,nan,0.0
XLRN,Acceleron Pharma Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),2013,38.75,2085000000.0,nan,-21.93,nan,55.58,4.17,44.87,-13.47,0.0,-343.3,-17.84,-28.72,37520000.0,0.76,650.8,-17160000.0,-124990000.0,-2.44,1.1333,nan,430760000.0,8.15,29150000.0,5.83,17.11,9.48,-89630000.0,-52290000.0,0.83,52830000.0,nan,nan,nan,nan,nan,0.0
ARAY,Accuray Incorporated,Health Care,Medical/Dental Instruments,2007,2.62,237046000.0,nan,-44.5,0.06,0.57,4.74,0.76,30.85,-3.92,0.5,0.32,-33.36,418780000.0,4.79,3.2,164150000.0,10370000.0,-0.188,-2.0,nan,76800000.0,0.87,159840000.0,320.52,1.79,0.56,-29640000.0,-29900000.0,1.85,88780000.0,nan,nan,nan,nan,nan,0.0
