Ticker,Name,Sector,Industry,IPO Year,Price,Market Cap,Trailing P/E,Forward P/E,PEG Ratio(5yr Expected),Price/Sales(ttm),Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA,Profit Margin,Operating Margin(TTM),Return on Assets(TTM),Return on Equity(TTM),Revenue(TTM),Revenue Per Share(TTM),Quarterly Revenue Growth(YOY),Gross Profit(TTM),EBITDA,Diluted EPS(TTM),Quarterly Earnings Growth(YOY),Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Book Value Per Share,Operating Cash Flow(TTM),Levered Free Cash Flow(TTM),Beta(3Y Monthly),Shares Outstanding,Forward Annual Dividend Rate,Forward Annual Dividend Yield,Trailing Annual Dividend Rate,Trailing Annual Dividend Yield,5 Year Average Dividend Yield,Payout Ratio
PIH,"1347 Property Insurance Holdings, Inc.",Finance,Property-Casualty Insurers,2014,5.02,30605000.0,nan,nan,nan,0.49,0.67,0.25,-20.56,-1.69,-1.43,-0.39,-1.64,62070000.0,10.35,nan,15490000.0,nan,-0.42,-95.0,33460000.0,5.57,nan,0.61,0.87,7.64,15660000.0,-2950000.0,0.38,6010000.0,nan,nan,nan,nan,nan,0.0
TURN,180 Degree Capital Corp.,Finance,Finance/Investors Services,n/a,1.95,58986000.0,59.69,nan,nan,86.01,0.72,76.66,-22.42,144.61,-342.62,-1.75,1.22,nan,0.02,nan,nan,-2340000.0,0.032,nan,7800000.0,0.25,nan,nan,10.76,2.64,4350000.0,-2310000.0,0.66,31120000.0,nan,nan,nan,nan,nan,0.0
FLWS,"1-800 FLOWERS.COM, Inc.",Consumer Services,Other Specialty Stores,1999,18.93,1243000000.0,36.59,32.75,3.95,1.02,3.56,0.91,14.28,2.86,3.85,4.95,10.38,1220000000.0,18.92,nan,489020000.0,77600000.0,0.53,nan,206380000.0,3.21,95810000.0,27.46,2.28,5.43,90770000.0,42390000.0,1.23,35770000.0,nan,nan,nan,nan,nan,0.0
FCCY,1st Constitution Bancorp (NJ),Finance,Savings Institutions,n/a,17.62,156287000.0,11.18,10.15,1.38,2.99,1.16,5.04,nan,26.98,38.79,1.11,11.03,52230000.0,6.13,nan,50220000.0,nan,1.62,80.1,30110000.0,3.48,139430000.0,nan,nan,15.62,nan,nan,0.16,8630000.0,0.3,1.65,0.3,1.68,nan,17.59
SRCE,1st Source Corporation,Finance,Major Banks,n/a,44.97,1171000000.0,13.8,12.59,1.25,3.91,1.48,4.6,nan,29.01,39.49,1.34,11.25,299560000.0,11.61,nan,291490000.0,nan,3.35,6.5,117890000.0,4.62,348340000.0,nan,nan,31.12,130669999.99999999,nan,1.38,25960000.0,1.08,2.43,0.52,1.16,1.95,31.04
VNET,"21Vianet Group, Inc.",Technology,"Computer Software: Programming, Data Processing",2011,7.25,1622000000.0,9.45,-724.0,-27.21,nan,1.05,nan,nan,-6.69,0.0,1.28,-4.08,nan,nan,nan,944870000.0,nan,0.77,-82.8,nan,nan,nan,74.04,1.97,6.87,nan,nan,1.15,111880000.0,nan,nan,nan,nan,nan,0.0
TWOU,"2U, Inc.",Technology,Computer Software: Prepackaged Software,2014,37.01,2355000000.0,nan,-143.62,-4.66,5.33,3.13,4.11,-101.48,-10.19,-12.0,-4.84,-8.33,441720000.0,7.72,nan,321280000.0,-17900000.0,-0.79,nan,423610000.0,7.24,62230000.0,8.96,5.11,11.94,-16820000.0,-62400000.0,1.93,53320000.0,nan,nan,nan,nan,nan,0.0
JOBS,"51job, Inc.",Technology,Diversified Commercial Services,2004,81.99,5162000000.0,48.83,21.08,56.57,nan,5.15,nan,nan,39.07,0.0,6.42,21.6,nan,nan,nan,2700000000.0,nan,1.69,nan,nan,nan,nan,28.12,2.19,16.05,nan,nan,1.42,62480000.0,nan,nan,nan,nan,nan,0.0
EGHT,8x8 Inc,Technology,EDP Services,n/a,24.48,2511000000.0,nan,-134.05,0.77,7.12,9.82,6.41,-29.7,-25.17,-25.81,-13.81,-37.91,352590000.0,3.73,nan,222610000.0,-76060000.0,-0.94,nan,346480000.0,3.6,216040000.0,86.62,5.32,2.6,-14870000.0,-12980000.0,0.87,95650000.0,nan,nan,nan,nan,nan,0.0
AAON,"AAON, Inc.",Capital Goods,Industrial Machinery/Components,n/a,51.67,2806000000.0,55.87,31.86,3.52,6.25,10.56,6.0,31.54,10.97,14.7,13.16,19.73,448690000.0,8.6,nan,103530000.0,85390000.0,0.94,155.9,7140000.0,0.14,nan,nan,3.34,4.98,59020000.0,9370000.0,0.9,52120000.0,0.32,0.62,0.32,0.62,0.79,34.04
ABEO,Abeona Therapeutics Inc.,Health Care,Major Pharmaceuticals,n/a,3.56,173587000.0,nan,-2.42,nan,70.36,1.51,46.55,-1.83,0.0,nan,-24.33,-45.09,2470000.0,0.05,nan,-35700000.0,-62690000.0,-1.355,nan,68310000.0,1.39,8620000.0,7.32,3.35,2.46,-50110000.0,-33880000.0,1.06,48090000.0,nan,nan,nan,nan,nan,0.0
ABIL,Ability Inc.,Consumer Durables,Telecommunications Equipment,2014,0.8543,6598000.0,nan,nan,nan,12.24,1.51,-8.46,0.47,0.0,nan,-28.01,-492.22,nan,0.18,nan,-1100000.0,-9690000.0,-3.446,nan,9860000.0,1.56,nan,nan,1.12,0.56,-5090000.0,-1270000.0,0.52,2580000.0,nan,nan,nan,nan,nan,0.0
ABMD,"ABIOMED, Inc.",Health Care,Medical/Dental Instruments,n/a,265.28,12529000000.0,49.19,47.41,2.04,16.28,13.29,14.88,48.11,33.66,29.1,15.2,31.85,769430000.0,17.13,nan,639870000.0,238020000.0,5.61,100.7,491700000.0,10.9,nan,nan,6.39,20.76,252200000.0,132389999.99999999,1.03,45280000.0,nan,nan,nan,nan,nan,0.0
AXAS,Abraxas Petroleum Corporation,Energy,Oil & Gas Production,n/a,0.935,155085000.0,7.09,3.68,2.77,1.08,1.08,2.37,4.36,15.09,21.77,5.5,16.64,143050000.0,0.86,nan,112840000.0,77730000.0,0.13,nan,1320000.0,0.01,182870000.0,128.94,0.42,0.85,75970000.0,-79280000.0,2.06,168370000.0,nan,nan,nan,nan,nan,0.0
ACIU,AC Immune SA,Health Care,Major Pharmaceuticals,2016,5.47,359672000.0,nan,-6.2,nan,nan,1.85,nan,nan,30.0,0.0,6.33,13.94,nan,nan,nan,-37080000.0,nan,-0.55,nan,nan,nan,nan,20.42,5.06,2.99,nan,nan,0.01,57360000.0,nan,nan,nan,nan,nan,0.0
ACIA,"Acacia Communications, Inc.",Technology,Semiconductors,2016,65.0,2664000000.0,129.46,31.86,-3.33,7.16,5.07,6.23,95.73,5.64,2.85,1.07,4.11,372170000.0,9.22,nan,147120000.0,24240000.0,0.5,nan,339430000.0,8.36,18710000.0,3.6,4.93,12.81,103350000.0,81100000.0,1.71,40600000.0,nan,nan,nan,nan,nan,0.0
ACTG,Acacia Research Corporation,Miscellaneous,Multi-Sector Companies,n/a,2.81,141709000.0,nan,nan,nan,1.95,0.75,-0.37,-16.44,-106.28,-17.19,-2.91,-33.99,72800000.0,1.46,nan,49370000.0,1640000.0,-1.556,nan,167870000.0,3.38,nan,nan,6.24,3.73,-87910000.0,-29730000.0,0.28,50060000.0,nan,nan,0.12,4.46,nan,0.0
ACHC,"Acadia Healthcare Company, Inc.",Health Care,Medical Specialities,n/a,31.06,2829000000.0,nan,13.11,2.33,0.93,1.18,2.17,11.69,-6.5,13.3,3.77,-7.63,3030000000.0,34.68,nan,1230000000.0,562670000.0,-2.26,-42.0,43680000.0,0.49,3840000000.0,157.79,1.07,27.44,385400000.0,19880000.0,0.75,88700000.0,nan,nan,nan,nan,nan,0.0
ACAD,ACADIA Pharmaceuticals Inc.,Health Care,Major Pharmaceuticals,1985,22.16,2838000000.0,nan,-19.5,-0.34,11.93,7.93,11.77,-10.1,-116.1,-117.81,-41.11,-76.45,237900000.0,1.81,nan,18310000.0,-277230000.0,-2.1,nan,414320000.0,2.87,11220000.0,2.68,6.35,2.9,-186410000.0,-89350000.0,1.99,144170000.0,nan,nan,nan,nan,nan,0.0
ACST,"Acasti Pharma, Inc.",Health Care,Major Pharmaceuticals,n/a,2.08,188343000.0,nan,-6.69,nan,nan,nan,nan,nan,0.0,0.0,-76.93,-464.85,nan,nan,nan,nan,nan,-1.224,nan,nan,nan,nan,13.01,2.05,-0.3,nan,nan,1.14,nan,nan,nan,nan,nan,nan,0.0
AXDX,"Accelerate Diagnostics, Inc.",Capital Goods,Biotechnology: Laboratory Analytical Instruments,n/a,18.91,1068000000.0000001,nan,-13.16,-0.41,161.33,24.52,152.11,-13.3,0.0,nan,-25.42,-119.42,6620000.0,0.12,nan,2480000.0,-75720000.0,-1.65,nan,150860000.0,2.77,122950000.0,286.14,25.36,0.79,-71190000.0,-34000000.0,3.5,54460000.0,nan,nan,nan,nan,nan,0.0
XLRN,Acceleron Pharma Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),2013,41.88,2240000000.0,nan,-26.72,nan,165.43,4.37,133.48,-13.63,0.0,nan,-18.49,-30.25,13540000.0,0.29,nan,-17160000.0,-132570000.0,-2.76,nan,437600000.0,8.31,30450000.0,5.97,19.26,9.72,-97580000.0,-55230000.0,0.83,45770000.0,nan,nan,nan,nan,nan,0.0
ARAY,Accuray Incorporated,Health Care,Medical/Dental Instruments,2007,3.99,366448000.0,nan,-136.33,0.09,0.88,7.56,1.05,49.11,-3.85,0.1,0.07,-34.57,415150000.0,4.78,nan,161690000.0,8850000.0,-0.184,nan,62510000.0,0.71,145960000.0,306.35,1.71,0.54,-10840000.0,-17210000.0,1.62,nan,nan,nan,nan,nan,nan,0.0
