Ticker,Name,Sector,Industry,IPO Year,Price,Market Cap,Trailing P/E,Forward P/E,PEG Ratio(5yr Expected),Price/Sales(ttm),Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA,Profit Margin,Operating Margin(TTM),Return on Assets(TTM),Return on Equity(TTM),Revenue(TTM),Revenue Per Share(TTM),Quarterly Revenue Growth(YOY),Gross Profit(TTM),EBITDA,Diluted EPS(TTM),Quarterly Earnings Growth(YOY),Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Book Value Per Share,Operating Cash Flow(TTM),Levered Free Cash Flow(TTM),Beta(3Y Monthly),Shares Outstanding,Forward Annual Dividend Rate,Forward Annual Dividend Yield,Trailing Annual Dividend Rate,Trailing Annual Dividend Yield,5 Year Average Dividend Yield,Payout Ratio
PIH,"1347 Property Insurance Holdings, Inc.",Finance,Property-Casualty Insurers,2014,4.8348,29222000.0,nan,nan,nan,0.5,0.69,0.76,118.12,-9.79,0.42,0.1,0.97,58400000.0,9.73,nan,15490000.0,nan,-1.185,nan,2310000.0,0.38,nan,nan,1.35,7.0,8630000.0,-80710000.0,0.37,6010000.0,nan,nan,nan,nan,nan,0.0
TURN,180 Degree Capital Corp.,Finance,Finance/Investors Services,n/a,2.1294,66541000.0,nan,nan,nan,314.3,0.75,285.36,-24.66,0.0,nan,-1.64,-3.19,nan,0.01,nan,nan,-2450000.0,-0.091,-39.9,5870000.0,0.19,nan,nan,1.45,2.82,-5850000.0,2120000.0,0.69,31120000.0,nan,nan,nan,nan,nan,0.0
FLWS,"1-800 FLOWERS.COM, Inc.",Consumer Services,Other Specialty Stores,1999,15.41,954268000.0,28.31,21.65,1.34,0.76,2.76,0.7,11.6,2.78,3.61,4.79,10.57,1250000000.0,19.41,nan,526120000.0,75070000.0,0.52,nan,172920000.0,2.69,96970000.0,28.3,2.38,5.33,78100000.0,34370000.0,1.24,35770000.0,nan,nan,nan,nan,nan,0.0
FCCY,1st Constitution Bancorp (NJ),Finance,Savings Institutions,n/a,17.12,148311000.0,10.77,9.78,1.32,2.84,1.11,4.98,nan,26.98,38.79,1.11,11.03,52230000.0,6.13,nan,50220000.0,nan,1.62,80.1,30110000.0,3.48,139430000.0,nan,nan,15.62,14330000.0,nan,0.13,8630000.0,0.3,1.77,0.3,1.74,nan,17.59
SRCE,1st Source Corporation,Finance,Major Banks,n/a,44.02,1133000000.0,13.25,12.09,1.23,3.78,1.43,4.52,nan,29.01,39.49,1.34,11.25,299560000.0,11.61,nan,291490000.0,nan,3.35,6.5,117890000.0,4.62,348340000.0,nan,nan,31.12,130669999.99999999,nan,1.36,25960000.0,1.08,2.48,0.52,1.18,1.95,31.04
VNET,"21Vianet Group, Inc.",Technology,"Computer Software: Programming, Data Processing",2011,7.31,1749000000.0,10.25,-785.0,-32.55,nan,1.14,nan,nan,-6.8,0.0,1.23,-4.17,nan,nan,nan,944870000.0,nan,0.77,nan,nan,nan,nan,92.57,2.28,6.87,nan,nan,1.17,111880000.0,nan,nan,nan,nan,nan,0.0
TWOU,"2U, Inc.",Technology,Computer Software: Prepackaged Software,2014,17.4,1099000000.0,nan,-18.82,-0.58,2.29,1.31,2.55,-38.6,-11.39,-15.42,-4.29,-7.03,479750000.0,8.19,nan,321280000.0,-31630000.0,-0.93,nan,218720000.0,3.45,307150000.0,35.67,2.19,13.62,-30870000.0,-51690000.0,1.58,53320000.0,nan,nan,nan,nan,nan,0.0
JOBS,"51job, Inc.",Technology,Diversified Commercial Services,2004,65.92,4600000000.0,42.51,19.98,50.94,nan,4.48,nan,nan,41.56,0.0,6.42,19.73,nan,nan,nan,2700000000.0,nan,1.69,nan,nan,nan,nan,0.97,4.1,16.05,nan,nan,1.39,62480000.0,nan,nan,nan,nan,nan,0.0
EGHT,8x8 Inc,Technology,EDP Services,n/a,24.6,2373000000.0,nan,-115.76,0.66,6.48,10.2,6.43,-25.86,-29.41,-29.06,-15.21,-44.67,366040000.0,3.84,nan,222610000.0,-91080000.0,-1.13,nan,296510000.0,2.99,238320000.0,103.55,4.02,2.38,-36170000.0,-8780000.0,0.9,95650000.0,nan,nan,nan,nan,nan,0.0
AAON,"AAON, Inc.",Capital Goods,Industrial Machinery/Components,n/a,47.77,2460000000.0,49.97,30.17,3.61,5.36,9.45,5.41,27.68,11.01,14.98,12.96,20.07,458540000.0,8.79,nan,103530000.0,89670000.0,0.96,10.9,17680000.0,0.34,nan,nan,2.86,5.08,54480000.0,11200000.0,0.94,52120000.0,0.32,0.67,0.32,0.67,0.79,33.33
