Ticker,Sector,Industry,Price,Market Cap (intraday),Trailing P/E,Forward P/E,PEG Ratio (5 yr expected),Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue,Revenue Per Share,Quarterly Revenue Growth,Gross Profit,EBITDA,Diluted EPS,EPS Beat Ratio,Quarterly Earnings Growth,Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Book Value Per Share,Operating Cash Flow,Levered Free Cash Flow,Beta (3Y Monthly),Shares Outstanding,Forward Annual Dividend Rate,Forward Annual Dividend Yield,Trailing Annual Dividend Rate,Trailing Annual Dividend Yield,5 Year Average Dividend Yield,Payout Ratio,Net Income Avi to Common,Enterprise Value
A,Healthcare,Diagnostics & Research,71.71,21806000000.0,29.14,19.03,2.7,4.16,4.5,4.44,18.25,14.59,19.29,6.84,15.46,5240000000.0,16.78,5.7,2810000000.0,1270000000.0,2.42,1.0,-60.9,1230000000.0,3.96,2650000000.0,54.74,1.64,15.64,749000000.0,620750000.0,nan,309650000.0,0.72,1.0,0.67,0.93,0.92,27.65,764000000.0,23230000000.0
AA,Basic Materials,Aluminum,6.05,1110000000.0,nan,-29.85,0.28,0.11,0.27,0.38,2.75,-10.78,7.17,3.04,-12.66,10430000000.0,56.4,-27.2,1920000000.0,1460000000.0,-6.08,1.4091,nan,879000000.0,4.73,1960000000.0,33.32,1.38,22.16,686000000.0,902880000.0,nan,185920000.0,nan,nan,0.36,5.92,nan,0.0,-1120000000.0,4019999999.9999995
AACG,Consumer Defensive,Education & Training Services,0.9484,26919000.0,nan,nan,nan,nan,nan,nan,nan,-124.94,0.0,-13.57,-40.24,nan,nan,nan,18420000.0,nan,nan,nan,nan,nan,nan,nan,7.29,0.69,nan,nan,nan,nan,28380000.0,nan,nan,nan,nan,nan,0.0,nan,26420000.0
AAL,Industrials,Airlines,10.34,4001000000.0000005,2.48,2.96,-0.15,0.09,nan,0.74,5.42,3.68,8.5,4.03,nan,45770000000.0,103.23,3.4,12560000000.0,6210000000.0,3.79,1.0088,27.8,3830000000.0,8.98,33439999999.999996,nan,0.45,-0.28,3820000000.0,-17750000.0,nan,428200000.0,0.4,3.98,0.4,3.98,1.1,10.55,1690000000.0,33619999999.999996
AAN,Industrials,Rental & Leasing Services,18.97,1243000000.0,40.48,4.13,0.55,0.31,0.72,0.48,4.02,0.8,9.76,7.86,1.8,3950000000.0,58.64,1.0,1840000000.0,471820000.0,0.46,1.0748,nan,57760000.0,0.87,710420000.0,40.89,0.55,26.04,317180000.0,2390000000.0,nan,66739999.99999999,0.16,0.83,0.14,0.76,0.3,31.52,31470000.0,1900000000.0
AAOI,Technology,Semiconductors,7.69,150724000.0,nan,745.0,-0.69,0.79,0.55,1.22,-9.42,-34.6,-25.54,-6.53,-21.91,190870000.0,9.55,-16.1,46200000.0,-24730000.0,-3.31,0.7826,nan,59980000.0,2.96,142340000.0,51.99,2.11,13.6,-1750000.0,-21960000.0,nan,20120000.0,nan,nan,nan,nan,nan,0.0,-66050000.0,233090000.0
AAON,Industrials,Building Products & Equipment,47.7,2338000000.0,44.03,26.42,2.68,4.98,8.06,4.93,25.34,11.44,14.59,12.6,19.91,469330000.0,9.01,9.1,119420000.0,91250000.0,1.02,1.1379,30.3,26800000.0,0.51,nan,nan,3.35,5.57,97920000.0,26660000.0,nan,52050000.0,0.32,0.66,0.32,0.66,0.77,31.37,53710000.0,2310000000.0
AAP,Consumer Cyclical,Specialty Retail,86.14,5861000000.0,12.38,9.25,1.03,0.6,1.64,0.89,8.69,5.01,7.8,4.66,13.72,9710000000.0,137.0,0.4,4260000000.0,995150000.0,6.84,1.2148,79.5,418660000.0,6.09,3240000000.0,91.36,1.27,51.61,866910000.0,275240000.0,nan,69260000.0,1.0,1.13,0.24,0.27,0.17,3.51,486900000.0,8650000000.0
AAPL,Technology,Consumer Electronics,242.8,1056000000000.0,19.17,15.84,1.61,3.95,11.82,3.98,13.64,21.49,24.71,11.58,55.47,267680000000.0,58.99,8.9,98390000000.0,78120000000.0,12.6,1.0967,11.4,107160000000.0,24.49,116750000000.0,130.4,1.6,20.42,73220000000.0,45590000000.0,nan,4380000000.0,3.08,1.26,3.04,1.24,1.6,23.94,57530000000.0,1070000000000.0001
AAT,Real Estate,REIT—Diversified,22.42,1290000000.0,25.42,15.91,7.35,3.56,0.98,6.99,12.3,12.61,31.35,2.85,5.74,362580000.0,6.7,20.1,237300000.0,206100000.0,0.85,0.9167,92.5,99740000.0,1.66,1360000000.0,105.46,2.75,21.87,153820000.0,46840000.0,nan,60070000.0,1.2,5.29,1.14,5.02,2.56,135.71,45720000.0,2530000000.0
