Date,Ticker,Price,Amount,Action
2019-12-30,AAL,28.5,29.0,buy
2019-12-30,AAN,56.35,16.0,buy
2019-12-30,AAOI,11.5,32.0,buy
2019-12-30,AAON,49.7,22.0,buy
2019-12-30,AAWW,26.94,21.0,buy
2019-12-30,ABB,24.16,20.0,buy
2019-12-30,ABR,14.56,-46.0,short
2019-12-30,ABT,87.52,20.0,buy
2019-12-30,ACBI,18.29,19.0,buy
2019-12-30,ACEL,12.7,-55.0,short
2019-12-30,ACIW,37.82,21.0,buy
2019-12-30,ACLS,24.18,29.0,buy
2019-12-30,ACM,43.16,-17.0,short
2019-12-30,ACTT,10.1,-16.0,short
2019-12-30,ACU,23.75,-20.0,short
2019-12-30,ADNT,21.25,15.0,buy
2019-12-30,ADSW,32.9,-30.0,short
2019-12-30,ADVM,11.28,30.0,buy
2019-12-30,AEGN,22.41,-17.0,short
2019-12-30,AEIS,71.4,17.0,buy
2019-12-30,AEM,61.34,-22.0,short
2019-12-30,AEO,14.54,16.0,buy
2019-12-30,AES,19.9,22.0,buy
2019-12-30,AG,11.98,61.0,buy
2019-12-30,AGNC,17.94,37.0,buy
2019-12-30,AGS,11.68,-41.0,short
2019-12-30,AGX,39.57,-22.0,short
2019-12-30,AGYS,25.42,-16.0,short
2019-12-30,AHCO,10.57,184.0,buy
2019-12-30,AINC,24.32,-25.0,short
2019-12-30,AIRG,10.48,19.0,buy
2019-12-30,AJRD,45.08,27.0,buy
2019-12-30,AJX,14.83,-39.0,short
2019-12-30,AKCA,18.03,-23.0,short
2019-12-30,ALB,72.1,32.0,buy
2019-12-30,ALBO,25.99,-22.0,short
2019-12-30,ALEX,20.72,-16.0,short
2019-12-30,ALK,68.17,19.0,buy
2019-12-30,ALOT,13.76,-22.0,short
2019-12-30,ALRS,22.82,-31.0,short
2019-12-30,ALSN,48.81,28.0,buy
2019-12-30,ALTR,36.45,19.0,buy
2019-12-30,AMAG,12.54,25.0,buy
2019-12-30,AMBC,21.55,29.0,buy
2019-12-30,AMCR,10.9,15.0,buy
2019-12-30,AMKR,13.28,27.0,buy
2019-12-30,AMPH,19.23,21.0,buy
2019-12-30,AMRC,17.5,23.0,buy
2019-12-30,AMRN,21.5,73.0,buy
2019-12-30,AMX,16.29,32.0,buy
2019-12-30,AN,48.93,-20.0,short
2019-12-30,ANF,17.31,-22.0,short
2019-12-30,ANGO,16.0,18.0,buy
2019-12-30,AOSL,13.68,34.0,buy
2019-12-30,APAM,32.2,19.0,buy
2019-12-30,APD,235.81,-21.0,short
2019-12-30,APH,108.24,-18.0,short
2019-12-30,APLE,16.12,25.0,buy
2019-12-30,APLS,28.69,-23.0,short
2019-12-30,APLT,26.14,-34.0,short
2019-12-30,APM,14.48,45.0,buy
2019-12-30,APO,48.1,52.0,buy
2019-12-30,APPN,37.77,17.0,buy
2019-12-30,APTS,13.15,58.0,buy
2019-12-30,APY,34.21,-17.0,short
2019-12-30,ARCC,18.72,-24.0,short
2019-12-30,ARD,19.92,172.0,buy
2019-12-30,ARES,34.89,103.0,buy
2019-12-30,ARGX,162.43,-23.0,short
2019-12-30,ARKR,21.63,-18.0,short
2019-12-30,ARLP,11.36,55.0,buy
2019-12-30,ARQL,20.04,111.0,buy
2019-12-30,ARVN,41.66,-16.0,short
2019-12-30,ASFI,10.39,-34.0,short
2019-12-30,ATNX,15.6,-31.0,short
2019-12-30,ATR,114.94,18.0,buy
2019-12-30,ATRA,16.55,-17.0,short
2019-12-30,ATRC,32.01,-16.0,short
2019-12-30,ATRO,28.33,-48.0,short
2019-12-30,ATUS,27.1,28.0,buy
2019-12-30,ATV,18.38,17.0,buy
2019-12-30,ATVI,59.35,20.0,buy
2019-12-30,AUB,38.05,28.0,buy
2019-12-30,AUPH,21.22,62.0,buy
2019-12-30,AUTL,13.61,41.0,buy
2019-12-30,AVGO,316.52,17.0,buy
2019-12-30,AVNW,14.03,-16.0,short
2019-12-30,AVTR,18.17,107.0,buy
2019-12-30,AWI,93.92,22.0,buy
2019-12-30,AX,30.33,32.0,buy
2019-12-30,AXGN,18.63,-22.0,short
2019-12-30,AXS,59.46,24.0,buy
2019-12-30,BAM,58.08,15.0,buy
2019-12-30,BAP,215.38,27.0,buy
2019-12-30,BATRA,29.76,28.0,buy
2019-12-30,BAX,84.1,17.0,buy
2019-12-30,BBBY,17.05,42.0,buy
2019-12-30,BBDC,10.27,83.0,buy
2019-12-30,BBIO,36.94,20.0,buy
2019-12-30,BCC,37.28,34.0,buy
