Date,Ticker,Price,Amount,Action
11/13/2019,FLWS,12.94,56,buy
11/13/2019,ACAD,46.04,50,buy
11/13/2019,ACIW,33.42,6,buy
11/13/2019,AMD,36.65,22,buy
11/13/2019,ALDR,18.95,81,buy
11/13/2019,ALXN,109.02,6,buy
11/13/2019,AOSL,12.66,33,buy
11/13/2019,AABA,19.56,234,buy
11/13/2019,AMRN,21.46,92,buy
11/13/2019,AMBC,20.52,52,buy
11/13/2019,DOX,67.09,15,buy
11/13/2019,APEI,25.19,15,buy
11/13/2019,AMSWA,16.62,3,buy
11/13/2019,APLS,29.04,14,buy
11/13/2019,APPN,41.82,29,buy
11/13/2019,ARCC,18.56,10,buy
11/13/2019,ARWR,45.41,35,buy
11/13/2019,BFIN,13.74,12,buy
11/13/2019,BRY,11.29,33,buy
11/13/2019,BILI,16.58,38,buy
11/13/2019,BFRA,11.36,21,buy
11/13/2019,BCOR,19.85,8,buy
11/13/2019,BOKF,81.53,15,buy
11/13/2019,BDGE,33.2,7,buy
11/13/2019,BRKR,48.31,11,buy
11/13/2019,CHRW,75.08,7,buy
11/13/2019,CSIQ,16.31,35,buy
11/13/2019,CPLP,11.75,12,buy
11/13/2019,CSWC,21.15,19,buy
11/13/2019,CBLK,26,29,buy
11/13/2019,CARG,37.96,64,buy
11/13/2019,CENT,30.51,25,buy
11/13/2019,CVCY,20.51,14,buy
11/13/2019,CZWI,11.61,21,buy
11/13/2019,COHU,19.69,35,buy
11/13/2019,CLBK,16.53,12,buy
11/13/2019,CMCSA,45.05,5,buy
11/13/2019,CNOB,25.14,12,buy
11/13/2019,ROAD,18.37,36,buy
11/13/2019,CORE,26.11,4,buy
11/13/2019,ICBK,23.38,8,buy
11/13/2019,COWN,15.07,19,buy
11/13/2019,CRNX,18.37,6,buy
11/13/2019,CCRN,12.42,32,buy
11/13/2019,CTRP,34.1,126,buy
11/13/2019,CMLS,14.42,51,buy
11/13/2019,CYBR,112,12,buy
11/13/2019,DNLI,14.88,33,buy
11/13/2019,DCOM,19.72,21,buy
11/13/2019,DISCB,38.18,37,buy
11/13/2019,DGICA,14.78,10,buy
11/13/2019,DBX,18.84,36,buy
11/13/2019,DNKN,75.62,19,buy
11/13/2019,DXPE,41.04,7,buy
11/13/2019,EBIX,36.7,9,buy
11/13/2019,SATS,41.09,30,buy
11/13/2019,EIGR,10.2,28,buy
11/13/2019,ESCA,10.94,7,buy
11/13/2019,ESSA,16.57,17,buy
11/13/2019,ETSY,40.64,70,buy
11/13/2019,EVOP,27.37,69,buy
11/13/2019,EXAS,79.58,10,buy
11/13/2019,FNHC,14,21,buy
11/13/2019,FNSR,24.09,59,buy
11/13/2019,FCBP,23.03,17,buy
11/13/2019,FCBC,31.63,5,buy
11/13/2019,FIBK,42.41,37,buy
11/13/2019,FSLR,52.54,12,buy
11/13/2019,FIVE,122.36,5,buy
11/13/2019,FLEX,11.83,75,buy
11/13/2019,FOCS,25.94,22,buy
11/13/2019,FRTA,10.93,20,buy
11/13/2019,GLIBA,72.19,16,buy
11/13/2019,GIII,29.24,9,buy
11/13/2019,GOOD,22.73,17,buy
11/13/2019,LAND,12.05,11,buy
11/13/2019,GWRS,12.49,28,buy
11/13/2019,GRFS,21.82,52,buy
11/13/2019,HALO,16,48,buy
11/13/2019,HA,29.35,13,buy
11/13/2019,HCSG,25.04,11,buy
11/13/2019,HQY,60.42,23,buy
11/13/2019,HTLD,21.88,13,buy
11/13/2019,HRTX,20.77,31,buy
11/13/2019,HPT,25.28,132,buy
11/13/2019,TWNK,13.06,16,buy
11/13/2019,HTHT,35.09,24,buy
11/13/2019,HCM,22.32,10,buy
11/13/2019,INFO,68.99,12,buy
11/13/2019,INOV,16.78,47,buy
11/13/2019,NTLA,13.55,21,buy
11/13/2019,IONS,57.25,9,buy
11/13/2019,IPGP,140.17,7,buy
11/13/2019,IQ,18.83,36,buy
11/13/2019,IRWD,11.25,47,buy
11/13/2019,JJSF,182.18,3,buy
11/13/2019,KELYA,21.43,38,buy
11/13/2019,KFRC,40.62,12,buy
11/13/2019,KBAL,21.39,5,buy
11/13/2019,KLAC,174.2,12,buy
11/13/2019,KTOS,19.23,17,buy
11/13/2019,KVHI,10.11,27,buy
11/13/2019,LSCC,19.81,39,buy
11/13/2019,LAUR,16.69,31,buy
11/13/2019,LCNB,17.95,16,buy
11/13/2019,LILA,18.51,30,buy
11/13/2019,BATRA,28.49,37,buy
